Table of U.S. Hantavirus Cases by 1993 (All States)
State	Died	Lived	Unknown Outcome	Total
Idaho	0	2	0	2
Montana	0	2	0	2
New Mexico	0	2	0	2
Oklahoma	1	0	0	1
Texas	0	1	0	1
Utah	1	0	0	1
Washington	0	1	0	1

Table of U.S. Hantavirus Cases by 2002 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	3	0	3
California	0	2	0	2
Colorado	0	1	0	1
Idaho	1	0	0	1
Nebraska	2	2	0	4
Nevada	1	0	0	1
Oklahoma	1	0	0	1
South Dakota	0	1	0	1
Texas	3	0	0	3
Utah	1	3	0	4
Washington	0	1	0	1
Wyoming	1	0	0	1

Table of U.S. Hantavirus Cases by 2003 (All States)
State	Died	Lived	Unknown Outcome	Total
California	1	4	0	5
Colorado	1	4	0	5
Idaho	0	1	0	1
Iowa	1	0	0	1
Montana	2	3	0	5
Nebraska	0	1	0	1
Nevada	0	1	0	1
New Mexico	0	1	0	1
Texas	2	4	0	6
Utah	0	2	0	2
Washington	1	1	0	2
Wyoming	1	0	0	1

Table of U.S. Hantavirus Cases by 2004 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	2	0	2
California	0	3	0	3
Colorado	1	3	0	4
Montana	1	1	0	2
Nevada	1	2	0	3
New Mexico	1	3	0	4
South Dakota	0	1	0	1
Texas	0	1	0	1
Utah	0	1	0	1
Virginia	1	0	0	1
Washington	0	2	0	2
West Virginia	0	1	0	1
Wyoming	0	2	0	2

Table of U.S. Hantavirus Cases by 2005 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	4	2	0	6
Colorado	1	10	0	11
Illinois	0	1	0	1
Montana	0	1	0	1
Nebraska	1	0	0	1
Nevada	0	1	0	1
New Mexico	0	1	0	1
Oregon	0	2	0	2
South Dakota	1	1	0	2
Texas	2	2	0	4
Washington	1	2	0	3
Wyoming	0	1	0	1

Table of U.S. Hantavirus Cases by 2006 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	4	6	1	11
California	2	0	0	2
Colorado	2	4	0	6
Idaho	0	1	0	1
Montana	0	1	0	1
Nevada	1	1	0	2
New Mexico	3	5	0	8
North Dakota	1	1	0	2
Oregon	1	0	0	1
South Dakota	1	1	0	2
Texas	0	2	0	2
Washington	2	1	0	3

Table of U.S. Hantavirus Cases by 2007 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	3	3	0	6
Colorado	4	2	0	6
Louisiana	1	1	0	2
Montana	1	1	0	2
Nebraska	1	0	0	1
New Mexico	0	3	0	3
Oregon	0	1	0	1
Pennsylvania	0	2	0	2
South Dakota	1	0	0	1
Texas	1	2	0	3
Washington	0	2	0	2

Table of U.S. Hantavirus Cases by 2008 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	1	0	1
Colorado	2	4	0	6
Idaho	0	2	0	2
Iowa	1	0	0	1
Kansas	1	0	0	1
Louisiana	0	2	0	2
Montana	1	1	0	2
Nebraska	1	0	0	1
New Mexico	1	0	0	1
North Dakota	1	0	0	1
Texas	0	1	0	1
Utah	1	0	0	1
Washington	1	1	0	2
Wyoming	2	0	0	2

Table of U.S. Hantavirus Cases by 2009 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	1	0	1
Arkansas	1	0	0	1
California	0	3	0	3
Colorado	1	1	0	2
Minnesota	1	0	0	1
New Mexico	0	5	0	5
North Dakota	0	1	0	1
Oregon	0	2	0	2
Utah	1	0	0	1
Washington	1	2	0	3

Table of U.S. Hantavirus Cases by 2010 (All States)
State	Died	Lived	Unknown Outcome	Total
California	1	3	0	4
Colorado	3	2	0	5
Florida	0	1	0	1
Idaho	0	3	0	3
Kansas	0	1	0	1
Nevada	1	0	0	1
New Mexico	1	1	0	2
Oregon	0	3	0	3
Washington	0	2	0	2

Table of U.S. Hantavirus Cases by 2011 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	1	0	2
Colorado	1	2	0	3
Idaho	1	0	0	1
Iowa	0	1	0	1
Maine	0	1	0	1
Montana	1	1	0	2
Nevada	1	1	0	2
New Mexico	3	2	0	5
New York	1	0	0	1
Oregon	1	1	0	2
South Dakota	0	1	0	1
Washington	1	1	0	2
Wyoming	1	0	0	1

Table of U.S. Hantavirus Cases by 2012 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	0	0	1
California	2	6	0	8
Colorado	1	2	0	3
Florida	0	1	0	1
Illinois	0	1	0	1
Iowa	0	1	0	1
Montana	0	3	0	3
New Mexico	1	0	0	1
New York	0	1	0	1
Oregon	0	2	0	2
Pennsylvania	1	0	0	1
South Dakota	1	0	0	1
Utah	2	0	0	2
Washington	2	0	0	2
West Virginia	1	0	0	1
Wyoming	0	1	0	1

Table of U.S. Hantavirus Cases by 2013 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	2	3	0	5
California	1	2	0	3
Colorado	1	1	0	2
Idaho	0	1	0	1
Louisiana	0	1	0	1
Montana	1	1	0	2
New Mexico	2	1	0	3
Oklahoma	2	0	0	2
Oregon	0	1	0	1
Texas	0	1	0	1

Table of U.S. Hantavirus Cases by 2014 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	3	1	0	4
California	0	1	0	1
Colorado	3	3	0	6
Connecticut	0	1	0	1
Iowa	1	1	0	2
Montana	0	1	0	1
New Mexico	3	3	0	6
North Dakota	1	1	0	2
Oklahoma	1	0	0	1
Oregon	0	1	0	1
Texas	0	5	0	5
Utah	2	1	0	3
Washington	0	1	0	1
Wyoming	0	1	0	1

Table of U.S. Hantavirus Cases by 2015 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	1	0	2
California	0	2	0	2
Colorado	4	2	0	6
Illinois	0	1	0	1
Indiana	0	1	0	1
Montana	0	4	0	4
New Mexico	0	1	0	1
North Dakota	0	1	0	1
Texas	0	2	0	2
Utah	0	2	0	2
Washington	0	1	0	1
Wisconsin	1	0	0	1
Wyoming	0	1	0	1

Table of U.S. Hantavirus Cases by 2016 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	3	0	3
California	1	0	0	1
Colorado	3	8	0	11
Illinois	1	0	0	1
Indiana	0	1	0	1
Iowa	0	1	0	1
Michigan	0	1	0	1
Montana	0	1	0	1
New Mexico	5	3	0	8
North Dakota	0	1	0	1
Oregon	0	1	0	1
Tennessee	0	1	0	1
Utah	2	0	0	2
Vermont	0	1	0	1
Washington	0	1	0	1
Wisconsin	0	2	0	2
Wyoming	1	0	0	1

Table of U.S. Hantavirus Cases by 2017 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	2	0	2
California	1	3	1	5
Colorado	0	5	0	5
Kansas	0	1	0	1
Minnesota	0	1	0	1
Nevada	2	0	0	2
New Mexico	2	3	0	5
New York	0	1	1	2
Oregon	0	1	0	1
Tennessee	0	1	0	1
Texas	0	2	0	2
Utah	1	0	1	2
Washington	3	2	0	5
Wisconsin	0	1	0	1
Wyoming	0	1	0	1

Table of U.S. Hantavirus Cases by 2018 (All States)
State	Died	Lived	Unknown Outcome	Total
California	3	2	0	5
Colorado	1	4	0	5
Delaware	0	1	0	1
District of Columbia	0	2	0	2
Idaho	0	1	0	1
North Dakota	1	0	0	1
Oklahoma	0	1	0	1
Oregon	0	1	0	1
Texas	0	1	0	1
Utah	0	1	0	1
Washington	0	2	0	2
Wyoming	0	2	0	2

Table of U.S. Hantavirus Cases by 2019 (All States)
State	Died	Lived	Unknown Outcome	Total
California	1	3	0	4
Colorado	0	1	0	1
Idaho	0	1	0	1
Illinois	0	1	0	1
Maryland	0	2	0	2
Nevada	1	1	0	2
New Hampshire	1	0	0	1
New Mexico	2	1	0	3
Oklahoma	0	1	0	1
South Dakota	1	1	0	2
Utah	0	1	0	1
Washington	0	1	0	1

Table of U.S. Hantavirus Cases by 2020 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	2	2	0	4
California	0	2	0	2
Colorado	0	1	0	1
Kansas	0	2	0	2
Nevada	1	0	0	1
New Mexico	0	1	0	1
New York	0	1	0	1
Oregon	0	2	0	2
South Dakota	0	1	0	1
Utah	0	1	0	1
Wyoming	0	1	0	1

Table of U.S. Hantavirus Cases by 2021 (All States)
State	Died	Lived	Unknown Outcome	Total
California	0	1	0	1
Colorado	2	1	0	3
Idaho	0	1	0	1
Iowa	0	1	0	1
Michigan	0	1	0	1
Montana	1	2	0	3
Nevada	1	0	0	1
New Mexico	0	1	0	1
North Dakota	1	1	0	2
Texas	0	1	0	1
Washington	0	1	0	1

Table of U.S. Hantavirus Cases by 2022 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	0	0	1
Louisiana	1	0	0	1
Nevada	0	1	0	1
New Mexico	1	2	0	3
North Dakota	0	1	0	1
Oklahoma	0	1	0	1
Oregon	0	1	0	1
Pennsylvania	1	0	0	1
South Dakota	0	1	0	1
Utah	0	1	0	1
Wyoming	0	1	0	1

Table of U.S. Hantavirus Cases by 2023 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	2	4	0	6
California	0	1	0	1
Colorado	1	1	0	2
Idaho	0	1	0	1
Louisiana	0	1	0	1
Nevada	1	2	0	3
New Mexico	2	5	0	7
Oregon	0	1	0	1
Utah	1	1	0	2
Washington	0	2	0	2
