year,state,cases
2020,Wyoming,1
2021,California,1
2021,Colorado,3
2021,Idaho,1
2021,Iowa,1
2021,Michigan,1
2021,Montana,3
2021,Nevada,1
2021,New Mexico,1
2021,North Dakota,2
2021,Texas,1
2021,Washington,1
2022,Arizona,1
2022,Louisiana,1
2022,Nevada,1
2022,New Mexico,3
2022,North Dakota,1
2022,Oklahoma,1
2022,Oregon,1
2022,Pennsylvania,1
2022,South Dakota,1
2022,Utah,1
2022,Wyoming,1
2023,Arizona,6
2023,California,1
2023,Colorado,2
2023,Idaho,1
2023,Louisiana,1
2023,Nevada,3
2023,New Mexico,7
2023,Oregon,1
2023,Utah,2
2023,Washington,2
